Komoditas,Tahun,Bulan,Harga
 Minyak Goreng Kemasan,2022,Agustus,Rp20.078
 Minyak Goreng Curah,2022,Agustus,Rp14.174
 Jagung Tk. Peternak,2022,Agustus,Rp5.334
 Beras Premium,2022,September,Rp12.570
 Beras Medium,2022,September,Rp11.024
 Kedelai Biji Kering,2022,September,Rp13.895
 Bawang Merah,2022,September,Rp34.587
 Bawang Putih (Bonggol),2022,September,Rp26.296
 Cabai Merah Keriting,2022,September,Rp62.451
Cabai Rawit Merah,2022,September,Rp62.867
 Daging Sapi Murni,2022,September,Rp134.281
 Daging Ayam Ras,2022,September,Rp35.251
 Telur Ayam Ras,2022,September,Rp29.065
 Gula Pasir Lokal/Curah,2022,September,Rp14.359
 Tepung Terigu Curah,2022,September,Rp10.791
 Minyak Goreng Kemasan,2022,September,Rp19.031
 Minyak Goreng Curah,2022,September,Rp13.924
 Jagung Tk. Peternak,2022,September,Rp5.357
 Beras Premium,2022,Oktober,Rp12.728
 Beras Medium,2022,Oktober,Rp11.144
 Kedelai Biji Kering,2022,Oktober,Rp14.115
 Bawang Merah,2022,Oktober,Rp33.778
 Bawang Putih (Bonggol),2022,Oktober,Rp25.934
 Cabai Merah Keriting,2022,Oktober,Rp46.646
Cabai Rawit Merah,2022,Oktober,Rp55.523
 Daging Sapi Murni,2022,Oktober,Rp134.433
 Daging Ayam Ras,2022,Oktober,Rp34.282
 Telur Ayam Ras,2022,Oktober,Rp27.179
 Gula Pasir Lokal/Curah,2022,Oktober,Rp14.277
 Tepung Terigu Curah,2022,Oktober,Rp10.933
 Minyak Goreng Kemasan,2022,Oktober,Rp18.255
 Minyak Goreng Curah,2022,Oktober,Rp13.779
 Jagung Tk. Peternak,2022,Oktober,Rp5.402
 Beras Premium,2022,November,Rp12.796
 Beras Medium,2022,November,Rp11.196
 Kedelai Biji Kering,2022,November,Rp14.568
 Bawang Merah,2022,November,Rp35.146
 Bawang Putih (Bonggol),2022,November,Rp25.701
 Cabai Merah Keriting,2022,November,Rp36.830
Cabai Rawit Merah,2022,November,Rp44.991
 Daging Sapi Murni,2022,November,Rp134.716
 Daging Ayam Ras,2022,November,Rp34.691
 Telur Ayam Ras,2022,November,Rp27.725
 Gula Pasir Lokal/Curah,2022,November,Rp14.267
 Tepung Terigu Curah,2022,November,Rp11.023
 Minyak Goreng Kemasan,2022,November,Rp17.967
 Minyak Goreng Curah,2022,November,Rp14.040
 Jagung Tk. Peternak,2022,November,Rp5.312
 Beras Premium,2022,Desember,Rp13.001
 Beras Medium,2022,Desember,Rp11.405
 Kedelai Biji Kering,2022,Desember,Rp14.810
 Bawang Merah,2022,Desember,Rp36.090
 Bawang Putih (Bonggol),2022,Desember,Rp26.445
 Cabai Merah Keriting,2022,Desember,Rp38.414
Cabai Rawit Merah,2022,Desember,Rp51.361
 Daging Sapi Murni,2022,Desember,Rp135.400
 Daging Ayam Ras,2022,Desember,Rp36.007
 Telur Ayam Ras,2022,Desember,Rp29.845
 Gula Pasir Lokal/Curah,2022,Desember,Rp14.307
 Tepung Terigu Curah,2022,Desember,Rp11.140
 Minyak Goreng Kemasan,2022,Desember,Rp17.988
 Minyak Goreng Curah,2022,Desember,Rp14.421
 Jagung Tk. Peternak,2022,Desember,Rp5.564
 Beras Premium,2023,Januari,Rp13.241
 Beras Medium,2023,Januari,Rp11.619
 Kedelai Biji Kering,2023,Januari,Rp14.969
 Bawang Merah,2023,Januari,Rp38.503
 Bawang Putih (Bonggol),2023,Januari,Rp27.801
 Cabai Merah Keriting,2023,Januari,Rp40.805
Cabai Rawit Merah,2023,Januari,Rp57.664
 Daging Sapi Murni,2023,Januari,Rp135.632
 Daging Ayam Ras,2023,Januari,Rp35.612
 Telur Ayam Ras,2023,Januari,Rp29.253
 Gula Pasir Lokal/Curah,2023,Januari,Rp14.362
 Tepung Terigu Curah,2023,Januari,Rp11.190
 Tepung Terigu Kemasan,2023,Januari,-
 Minyak Goreng Kemasan,2023,Januari,Rp18.045
 Minyak Goreng Curah,2023,Januari,Rp14.830
 Jagung Tk. Peternak,2023,Januari,Rp5.734
 Ikan Kembung,2023,Januari,-
 Ikan Tongkol,2023,Januari,-
 Ikan Bandeng,2023,Januari,-
 Garam konsumsi,2023,Januari,-
 Beras Premium,2023,Februari,Rp13.524
 Beras Medium,2023,Februari,Rp11.848
 Kedelai Biji Kering,2023,Februari,Rp14.931
 Bawang Merah,2023,Februari,Rp38.892
 Bawang Putih (Bonggol),2023,Februari,Rp29.288
 Cabai Merah Keriting,2023,Februari,Rp43.711
Cabai Rawit Merah,2023,Februari,Rp58.589
 Daging Sapi Murni,2023,Februari,Rp135.061
 Daging Ayam Ras,2023,Februari,Rp34.412
 Telur Ayam Ras,2023,Februari,Rp28.210
 Gula Pasir Lokal/Curah,2023,Februari,Rp14.404
 Tepung Terigu Curah,2023,Februari,Rp11.226
 Tepung Terigu Kemasan,2023,Februari,-
 Minyak Goreng Kemasan,2023,Februari,Rp18.207
 Minyak Goreng Curah,2023,Februari,Rp15.105
 Jagung Tk. Peternak,2023,Februari,Rp5.820
 Ikan Kembung,2023,Februari,Rp40.317
 Ikan Tongkol,2023,Februari,Rp36.954
 Ikan Bandeng,2023,Februari,Rp35.202
 Garam konsumsi,2023,Februari,-
 Beras Premium,2023,Maret,Rp13.630
 Beras Medium,2023,Maret,Rp11.906
 Kedelai Biji Kering,2023,Maret,Rp14.912
 Bawang Merah,2023,Maret,Rp36.061
 Bawang Putih (Bonggol),2023,Maret,Rp31.938
 Cabai Merah Keriting,2023,Maret,Rp45.180
Cabai Rawit Merah,2023,Maret,Rp67.390
 Daging Sapi Murni,2023,Maret,Rp135.713
 Daging Ayam Ras,2023,Maret,Rp34.672
 Telur Ayam Ras,2023,Maret,Rp28.772
 Gula Pasir Lokal/Curah,2023,Maret,Rp14.404
 Tepung Terigu Curah,2023,Maret,Rp11.279
 Tepung Terigu Kemasan,2023,Maret,-
 Minyak Goreng Kemasan,2023,Maret,Rp18.174
 Minyak Goreng Curah,2023,Maret,Rp15.069
 Jagung Tk. Peternak,2023,Maret,Rp5.963
 Ikan Kembung,2023,Maret,Rp40.543
 Ikan Tongkol,2023,Maret,Rp36.988
 Ikan Bandeng,2023,Maret,Rp35.396
 Garam konsumsi,2023,Maret,-
 Beras Premium,2023,April,Rp13.699
 Beras Medium,2023,April,Rp11.958
 Kedelai Biji Kering,2023,April,Rp14.829
 Bawang Merah,2023,April,Rp35.920
 Bawang Putih (Bonggol),2023,April,Rp32.589
 Cabai Merah Keriting,2023,April,Rp38.950
Cabai Rawit Merah,2023,April,Rp45.530
 Daging Sapi Murni,2023,April,Rp137.527
 Daging Ayam Ras,2023,April,Rp35.329
 Telur Ayam Ras,2023,April,Rp29.105
 Gula Pasir Lokal/Curah,2023,April,Rp14.426
 Tepung Terigu Curah,2023,April,Rp11.266
 Tepung Terigu Kemasan,2023,April,Rp13.827
 Minyak Goreng Kemasan,2023,April,Rp18.267
 Minyak Goreng Curah,2023,April,Rp15.075
 Jagung Tk. Peternak,2023,April,Rp6.105
 Ikan Kembung,2023,April,Rp40.886
 Ikan Tongkol,2023,April,Rp37.167
 Ikan Bandeng,2023,April,Rp36.107
 Garam konsumsi,2023,April,Rp11.849
 Beras Premium,2023,Mei,Rp13.662
 Beras Medium,2023,Mei,Rp11.930
 Kedelai Biji Kering,2023,Mei,Rp13.391
 Bawang Merah,2023,Mei,Rp39.244
 Bawang Putih (Bonggol),2023,Mei,Rp36.313
 Cabai Merah Keriting,2023,Mei,Rp36.460
Cabai Rawit Merah,2023,Mei,Rp42.257
 Daging Sapi Murni,2023,Mei,Rp136.245
 Daging Ayam Ras,2023,Mei,Rp36.855
 Telur Ayam Ras,2023,Mei,Rp30.338
 Gula Pasir Lokal/Curah,2023,Mei,Rp14.475
 Tepung Terigu Curah,2023,Mei,Rp11.216
 Tepung Terigu Kemasan,2023,Mei,Rp13.811
 Minyak Goreng Kemasan,2023,Mei,Rp18.198
 Minyak Goreng Curah,2023,Mei,Rp15.050
 Jagung Tk. Peternak,2023,Mei,Rp6.217
 Ikan Kembung,2023,Mei,Rp40.993
 Ikan Tongkol,2023,Mei,Rp37.221
 Ikan Bandeng,2023,Mei,Rp35.962
 Garam konsumsi,2023,Mei,Rp11.936
 Beras Premium,2023,Juni,Rp13.657
 Beras Medium,2023,Juni,Rp11.905
 Kedelai Biji Kering,2023,Juni,Rp13.057
 Bawang Merah,2023,Juni,Rp38.334
 Bawang Putih (Bonggol),2023,Juni,Rp37.832
 Cabai Merah Keriting,2023,Juni,Rp38.706
Cabai Rawit Merah,2023,Juni,Rp44.801
 Daging Sapi Murni,2023,Juni,Rp136.314
 Daging Ayam Ras,2023,Juni,Rp38.607
 Telur Ayam Ras,2023,Juni,Rp30.636
 Gula Pasir Lokal/Curah,2023,Juni,Rp14.533
 Tepung Terigu Curah,2023,Juni,Rp11.151
 Tepung Terigu Kemasan,2023,Juni,Rp13.769
 Minyak Goreng Kemasan,2023,Juni,Rp18.072
 Minyak Goreng Curah,2023,Juni,Rp14.971
 Jagung Tk. Peternak,2023,Juni,Rp6.259
 Ikan Kembung,2023,Juni,Rp40.790
 Ikan Tongkol,2023,Juni,Rp36.868
 Ikan Bandeng,2023,Juni,Rp35.606
 Garam konsumsi,2023,Juni,Rp11.978
 Beras Premium,2023,Juli,Rp13.669
 Beras Medium,2023,Juli,Rp11.977
 Kedelai Biji Kering,2023,Juli,Rp13.098
 Bawang Merah,2023,Juli,Rp35.513
 Bawang Putih (Bonggol),2023,Juli,Rp40.433
 Cabai Merah Keriting,2023,Juli,Rp41.279
Cabai Rawit Merah,2023,Juli,Rp43.276
 Daging Sapi Murni,2023,Juli,Rp135.789
 Daging Ayam Ras,2023,Juli,Rp37.898
 Telur Ayam Ras,2023,Juli,Rp30.943
 Gula Pasir Lokal/Curah,2023,Juli,Rp14.647
 Tepung Terigu Curah,2023,Juli,Rp11.126
 Tepung Terigu Kemasan,2023,Juli,Rp13.748
 Minyak Goreng Kemasan,2023,Juli,Rp17.893
 Minyak Goreng Curah,2023,Juli,Rp14.847
 Jagung Tk. Peternak,2023,Juli,Rp6.239
